id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game.id,game.date,game.home_team_id,game.home_team_score,game.period,game.postseason,game.season,game.status,game.time,game.visitor_team_id,game.visitor_team_score,player.id,player.first_name,player.height_feet,player.height_inches,player.last_name,player.position,player.team_id,player.weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name
1069018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:46,0.0,0.0,0.0,0.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,299,Frank,5.0,11.0,Mason,G,17,190.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069019,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1:46,0.0,0.0,0.0,0.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,309,Ben,,,McLemore,G,11,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069020,,,,,,,,,,,,,,,,,,,,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,263,Kosta,7.0,0.0,Koufos,C,26,245.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069021,3.0,0.0,4.0,0.0,2.0,0.0,0.2,5.0,1.0,0.833,6.0,5.0,26:43,1.0,3.0,7.0,5.0,2.0,3.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,33,Nicolas,6.0,8.0,Batum,F-G,4,200.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069022,2.0,1.0,5.0,0.5,6.0,3.0,0.5,6.0,3.0,0.5,2.0,1.0,29:30,0.0,2.0,10.0,5.0,3.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,482,Marvin,6.0,9.0,Williams,F,17,237.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9:25,1.0,0.0,0.0,2.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,48,Bismack,6.0,9.0,Biyombo,C,4,255.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069024,1.0,0.0,4.0,0.286,7.0,2.0,0.357,14.0,5.0,1.0,2.0,2.0,26:19,1.0,1.0,14.0,5.0,2.0,3.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,267,Jeremy,6.0,5.0,Lamb,G,12,185.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069025,5.0,1.0,2.0,0.3,10.0,3.0,0.429,21.0,9.0,1.0,2.0,2.0,28:42,2.0,0.0,23.0,4.0,0.0,2.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,465,Kemba,6.0,1.0,Walker,G,2,184.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069026,1.0,1.0,12.0,0.5,2.0,1.0,0.444,9.0,4.0,1.0,2.0,2.0,25:30,4.0,4.0,11.0,16.0,1.0,1.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,207,Willy,6.0,11.0,Hernangomez,C,4,240.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069027,1.0,0.0,3.0,0.333,3.0,1.0,0.667,9.0,6.0,0.5,4.0,2.0,22:20,1.0,0.0,15.0,4.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,62,Miles,6.0,7.0,Bridges,F,4,225.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069028,1.0,0.0,1.0,0.0,2.0,0.0,0.571,7.0,4.0,1.0,7.0,7.0,30:15,1.0,2.0,15.0,2.0,2.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,255,Michael,6.0,7.0,Kidd-Gilchrist,F,7,232.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069029,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9:14,0.0,0.0,0.0,0.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,180,Devonte',6.0,2.0,Graham,G,4,185.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069030,6.0,0.0,1.0,0.0,1.0,0.0,0.5,10.0,5.0,1.0,4.0,4.0,17:32,1.0,3.0,14.0,2.0,1.0,2.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,363,Tony,6.0,2.0,Parker,G,4,185.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069031,1.0,0.0,1.0,0.5,2.0,1.0,0.667,3.0,2.0,0.0,0.0,0.0,13:10,0.0,1.0,5.0,1.0,0.0,2.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,324,Malik,6.0,3.0,Monk,G,4,200.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:20,0.0,0.0,0.0,0.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,23,Dwayne,6.0,7.0,Bacon,G-F,4,221.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069033,,,,,,,,,,,,,,,,,,,,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,252,Frank,7.0,0.0,Kaminsky,F-C,24,242.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1069034,4.0,1.0,4.0,0.25,4.0,1.0,0.625,8.0,5.0,1.0,4.0,4.0,30:12,1.0,4.0,15.0,5.0,0.0,0.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,61,Mikal,6.0,7.0,Bridges,F,24,210.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069035,0.0,2.0,5.0,0.25,4.0,1.0,0.313,16.0,5.0,0.0,0.0,0.0,40:53,1.0,1.0,11.0,6.0,2.0,1.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,469,T.J.,6.0,8.0,Warren,F,12,215.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069036,2.0,2.0,10.0,0.0,0.0,0.0,0.75,8.0,6.0,0.75,4.0,3.0,35:09,7.0,1.0,15.0,17.0,2.0,2.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,22,Deandre,7.0,1.0,Ayton,C,24,250.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069037,8.0,0.0,2.0,0.444,9.0,4.0,0.476,21.0,10.0,0.667,9.0,6.0,35:11,0.0,3.0,30.0,2.0,0.0,6.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,57,Devin,6.0,6.0,Booker,G,24,210.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069038,2.0,1.0,3.0,0.0,2.0,0.0,0.25,4.0,1.0,0.0,0.0,0.0,16:07,0.0,4.0,2.0,3.0,1.0,0.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,313,De'Anthony,6.0,4.0,Melton,G,15,200.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069039,0.0,0.0,1.0,0.5,2.0,1.0,0.667,3.0,2.0,0.75,4.0,3.0,15:41,0.0,1.0,8.0,1.0,2.0,1.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,355,Elie,6.0,3.0,Okobo,G,24,190.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069040,0.0,0.0,2.0,0.5,2.0,1.0,0.75,4.0,3.0,0.0,0.0,0.0,18:43,0.0,2.0,7.0,2.0,2.0,1.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,234,Josh,6.0,8.0,Jackson,F,15,200.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069041,1.0,0.0,4.0,0.167,6.0,1.0,0.188,16.0,3.0,0.846,13.0,11.0,29:49,5.0,2.0,18.0,9.0,0.0,2.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,360,Kelly,6.0,7.0,Oubre Jr.,F,24,205.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069042,1.0,1.0,0.0,0.0,0.0,0.0,0.333,3.0,1.0,0.5,2.0,1.0,12:51,1.0,3.0,3.0,1.0,0.0,3.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,217,Richaun,6.0,10.0,Holmes,F-C,26,235.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069043,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5:24,0.0,0.0,0.0,0.0,0.0,0.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,2020,Quincy,,,Acy,,28,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069044,,,,,,,,,,,,,,,,,,,,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,13,Ryan,6.0,10.0,Anderson,F,11,240.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069045,,,,,,,,,,,,,,,,,,,,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,43,Dragan,7.0,1.0,Bender,F,10,225.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069046,,,,,,,,,,,,,,,,,,,,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,116,Troy,6.0,4.0,Daniels,G,8,205.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1069047,1.0,0.0,1.0,0.333,3.0,1.0,0.5,6.0,3.0,0.667,3.0,2.0,26:12,0.0,2.0,9.0,1.0,1.0,0.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,184,Danny,6.0,6.0,Green,G-F,14,215.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069048,5.0,2.0,10.0,0.0,3.0,0.0,0.5,8.0,4.0,1.0,2.0,2.0,33:00,2.0,1.0,10.0,12.0,1.0,1.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,416,Pascal,6.0,9.0,Siakam,F,28,230.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069049,1.0,1.0,3.0,0.0,1.0,0.0,0.579,19.0,11.0,0.0,2.0,0.0,31:15,3.0,4.0,22.0,6.0,0.0,3.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,223,Serge,6.0,10.0,Ibaka,F-C,28,235.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069050,4.0,1.0,2.0,0.333,3.0,1.0,0.545,11.0,6.0,1.0,2.0,2.0,31:05,0.0,3.0,15.0,2.0,0.0,0.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,458,Fred,6.0,0.0,VanVleet,G,28,195.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069051,8.0,0.0,8.0,0.2,10.0,2.0,0.267,15.0,4.0,0.667,9.0,6.0,39:42,1.0,4.0,16.0,9.0,2.0,4.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,286,Kyle,6.0,1.0,Lowry,G,28,196.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069052,2.0,0.0,1.0,0.0,1.0,0.0,0.25,4.0,1.0,1.0,2.0,2.0,20:41,0.0,0.0,4.0,1.0,2.0,2.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,380,Norman,6.0,4.0,Powell,F-G,28,215.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069053,0.0,2.0,3.0,0.0,0.0,0.0,0.571,7.0,4.0,0.5,2.0,1.0,11:27,2.0,5.0,9.0,5.0,0.0,2.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,325,Greg,,,Monroe,C,23,,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069054,5.0,0.0,0.0,0.0,0.0,0.0,0.8,5.0,4.0,1.0,2.0,2.0,18:30,0.0,1.0,10.0,0.0,1.0,1.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,487,Delon,6.0,5.0,Wright,G,7,183.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069055,1.0,1.0,1.0,0.6,5.0,3.0,0.714,7.0,5.0,0.0,0.0,0.0,17:00,1.0,2.0,13.0,2.0,1.0,0.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,316,CJ,6.0,6.0,Miles,F-G,30,220.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069056,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5:50,0.0,2.0,0.0,1.0,0.0,1.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,2158,Patrick,6.0,7.0,McCaw,,28,185.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069057,0.0,1.0,0.0,0.0,1.0,0.0,0.333,3.0,1.0,1.0,1.0,1.0,5:18,0.0,3.0,3.0,0.0,0.0,0.0,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,58,Chris,6.0,10.0,Boucher,F,28,200.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1069058,,,,,,,,,,,,,,,,,,,,45250,2019-01-17T00:00:00.000Z,28,111,4,False,2018,Final, ,24,109,274,Kawhi,6,7,Leonard,F,13,230,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
11,,,,,,,,,,,,,,,,,,,,2,2018-10-16T00:00:00.000Z,10,108,4,False,2018,Final, ,21,100,78,Deonte,6,5,Burton,G,21,245,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069059,11.0,1.0,4.0,0.0,2.0,0.0,0.111,9.0,1.0,1.0,6.0,6.0,37:37,1.0,1.0,8.0,5.0,0.0,4.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,227,Brandon,6,9,Ingram,F,19,190,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069060,4.0,0.0,7.0,0.583,12.0,7.0,0.55,20.0,11.0,1.0,3.0,3.0,36:17,1.0,4.0,32.0,8.0,3.0,4.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,265,Kyle,6,9,Kuzma,F,14,220,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069061,0.0,1.0,4.0,0.0,0.0,0.0,0.5,6.0,3.0,0.0,0.0,0.0,16:00,3.0,1.0,6.0,7.0,0.0,1.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,94,Tyson,7,1,Chandler,C,11,240,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069062,1.0,0.0,2.0,0.75,4.0,3.0,0.714,7.0,5.0,0.0,0.0,0.0,23:23,0.0,0.0,13.0,2.0,2.0,2.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,81,Kentavious,6,5,Caldwell-Pope,G,14,205,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069063,10.0,0.0,6.0,0.4,10.0,4.0,0.412,17.0,7.0,0.0,0.0,0.0,33:02,0.0,5.0,18.0,6.0,1.0,4.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,27,Lonzo,6,6,Ball,G,19,190,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069064,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,8:45,1.0,1.0,4.0,2.0,0.0,0.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,306,JaVale,7,0,McGee,C,14,270,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069065,5.0,1.0,9.0,0.5,4.0,2.0,0.5,6.0,3.0,0.8,5.0,4.0,33:09,1.0,2.0,12.0,10.0,3.0,1.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,202,Josh,6,5,Hart,G,19,215,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069066,2.0,0.0,2.0,0.0,1.0,0.0,0.333,6.0,2.0,1.0,1.0,1.0,8:37,0.0,1.0,5.0,2.0,1.0,2.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,39,Michael,6,9,Beasley,F,13,235,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069067,1.0,0.0,6.0,0.0,0.0,0.0,0.857,14.0,12.0,0.667,3.0,2.0,28:10,6.0,3.0,26.0,12.0,0.0,4.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,493,Ivica,7,1,Zubac,C,13,240,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069068,1.0,0.0,3.0,0.333,6.0,2.0,0.286,7.0,2.0,1.0,1.0,1.0,18:39,1.0,3.0,7.0,4.0,0.0,0.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,338,Svi,6,8,Mykhailiuk,G,9,205,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069069,2.0,0.0,3.0,0.0,0.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,13:28,0.0,2.0,2.0,3.0,1.0,1.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,431,Lance,6,6,Stephenson,G,14,230,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069070,0.0,1.0,2.0,1.0,1.0,1.0,0.333,3.0,1.0,1.0,2.0,2.0,7:53,0.0,1.0,5.0,2.0,0.0,0.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,462,Moritz,6,11,Wagner,C,30,245,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1069071,8.0,0.0,5.0,0.417,12.0,5.0,0.474,19.0,9.0,0.667,6.0,4.0,43:31,2.0,2.0,27.0,7.0,3.0,3.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,172,Paul,6,9,George,F,13,220,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069201,,,,,,,,,,,,,,,,,,,,46896,2019-01-18T00:00:00.000Z,22,115,4,False,2018,Final, ,3,117,298,Jarell,6,10,Martin,F,6,239,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1069072,2.0,3.0,2.0,0.333,6.0,2.0,0.385,13.0,5.0,1.0,2.0,2.0,38:59,1.0,3.0,14.0,3.0,0.0,1.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,182,Jerami,6,9,Grant,F,8,220,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069073,1.0,0.0,8.0,0.0,0.0,0.0,0.667,9.0,6.0,0.833,6.0,5.0,41:19,7.0,3.0,17.0,15.0,4.0,2.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,3,Steven,7,0,Adams,C,21,265,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069074,2.0,0.0,2.0,0.5,12.0,6.0,0.462,13.0,6.0,0.6,5.0,3.0,37:22,1.0,4.0,21.0,3.0,1.0,2.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,156,Terrance,6,7,Ferguson,G,21,190,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069075,13.0,1.0,7.0,0.417,12.0,5.0,0.233,30.0,7.0,0.7,10.0,7.0,43:21,2.0,5.0,26.0,9.0,1.0,3.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,472,Russell,6,3,Westbrook,G,11,200,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069076,2.0,0.0,1.0,0.2,5.0,1.0,0.429,7.0,3.0,1.0,2.0,2.0,16:30,0.0,1.0,9.0,1.0,0.0,3.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,409,Dennis,6,1,Schroder,G,21,172,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069077,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.5,2.0,1.0,11:24,0.0,0.0,1.0,1.0,0.0,0.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,339,Abdel,6,6,Nader,F,21,225,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069078,1.0,0.0,0.0,0.75,4.0,3.0,0.75,4.0,3.0,0.0,1.0,0.0,9:38,0.0,2.0,9.0,0.0,0.0,0.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,365,Patrick,6,9,Patterson,F,13,230,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069079,1.0,0.0,1.0,0.0,0.0,0.0,0.667,3.0,2.0,0.0,0.0,0.0,11:41,1.0,2.0,4.0,2.0,1.0,1.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,345,Nerlens,6,11,Noel,F-C,21,220,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069080,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,11:15,1.0,0.0,0.0,3.0,0.0,0.0,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,128,Hamidou,6,5,Diallo,G,21,198,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069081,,,,,,,,,,,,,,,,,,,,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,155,Raymond,6,1,Felton,G,21,205,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069082,,,,,,,,,,,,,,,,,,,,45278,2019-01-17T00:00:00.000Z,21,128,4,False,2018,Final, ,14,138,288,Timothe,6,6,Luwawu-Cabarrot,G-F,3,210,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1069083,8.0,0.0,4.0,0.5,2.0,1.0,0.588,17.0,10.0,1.0,6.0,6.0,34:43,1.0,1.0,27.0,5.0,3.0,0.0,45167,2019-01-17T00:00:00.000Z,12,96,4,False,2018,Final, ,23,120,79,Jimmy,6,8,Butler,G-F,16,232,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
